,COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,Predicted_CH4_per(10^4 Barrer),Predicted_CO4_per(10^4 Barrer),Predicted_H2S_per(10^4 Barrer)
6011,linker104_NH_linker2_CO_qtz_relaxed.cif,16.80927,16.1684,0.203949,6614.72,4.45376,0.920557,1,0.466666667,0.3,0.066666667,0.166666667,0.4,0,0,0,217,0.645833333,0.233333333,0.776,27.25101908,23.198376,46.28671
6012,linker108_N_linker6_CH_dia_relaxed.cif,18.36756,15.54172,0.229323,6065.6,3.90889,0.920555,1,0.516129032,0.225806452,0.129032258,0.129032258,1,0,0,0,185,0.72265625,0.258064516,0.836129032,25.8018452,25.325304,47.194515
6013,linker110_C_linker19_C_uka_relaxed.cif,21.27028,21.12673,0.204484,6279.6,4.3574,0.920553,1,0.548387097,0.451612903,0,0,0,0,0,0,641,0.589154412,0,0,27.38907101,20.669582,43.55153
6014,linker100_N_linker58_CH_pcl_relaxed.cif,23.93921,21.59027,0.197949,6771.42,4.58603,0.920549,1,0.5,0.291666667,0.166666667,0.041666667,4,0,0,0,241,0.627604167,0.208333333,0.65,28.52741615,21.119673,48.94505
6015,linker98_N_linker60_CH_cds_relaxed_interp_2.cif,22.1219,16.34271,0.184248,6921.22,4.9251,0.920549,1,0.526315789,0.368421053,0.105263158,0,0,0,0,0,145,0.604166667,0.105263158,0.32,29.09159491,19.85785,40.073006
6016,linker91_C_linker35_C_fss_relaxed.cif,21.02986,19.28791,0.273145,7184.8,3.18615,0.920547,0,0.583333333,0.25,0.166666667,0,0,0,0,0,721,0.715277778,0.166666667,0.506666667,22.80093063,28.65485,40.236824
6017,linker103_NH_linker8_CH2_crb_relaxed.cif,28.02265,17.27267,0.176204,7168.4,5.20521,0.920546,1,0.482352941,0.329411765,0.094117647,0.094117647,1,0,0,0,201,0.612804878,0.188235294,0.609882353,32.80033503,21.03816,37.996162
6018,linker107_N_linker88_CH_uni_relaxed.cif,23.89768,21.91898,0.192848,7041.1,4.70485,0.920545,1,0.482758621,0.344827586,0.103448276,0.068965517,1.5,0,0,0,100,0.595238095,0.172413793,0.551724138,29.47245705,21.21147,51.72547
6019,linker109_CH_linker69_N_dft_relaxed_interp_2.cif,25.90397,19.34748,0.179709,7590.9,5.06518,0.920539,1,0.518987342,0.35443038,0.101265823,0.025316456,4,0,0,0,401,0.611280488,0.126582278,0.394936709,30.14870362,21.333838,42.886364
6020,linker105_N_linker67_CH_uni_relaxed.cif,23.33267,22.94446,0.20337,7435.44,4.46034,0.920539,1,0.481481481,0.259259259,0.148148148,0.111111111,1.333333333,0,0,0,103,0.66025641,0.259259259,0.832592593,30.13436871,23.350723,56.591415
6021,linker98_N_linker70_CH_dia_relaxed_interp_2.cif,20.36545,19.67612,0.20058,7455.19,4.49038,0.920539,1,0.508474576,0.355932203,0.101694915,0.033898305,3,0,0,0,577,0.601041667,0.13559322,0.425762712,26.64472481,22.924633,46.96233
6022,linker94_CH_linker93_N_nof_relaxed_interp_3.cif,20.65786,15.54081,0.201725,8187.05,4.4416,0.920538,1,0.569620253,0.379746835,0.050632911,0,0,0,0,0,697,0.64537037,0.050632911,0.153924051,24.30925127,22.75572,49.016144
6023,linker103_NH_linker48_CH2_crb_relaxed.cif,27.04148,17.24326,0.17083,7465.64,5.34156,0.920537,1,0.505154639,0.412371134,0.082474227,0,0,0,0,0,217,0.553571429,0.082474227,0.250721649,29.60605957,20.667479,33.960125
6024,linker100_CH2_linker41_NH_qtz_relaxed.cif,17.01747,15.93314,0.192294,7270.73,4.72808,0.920536,1,0.46875,0.375,0.09375,0.0625,1.5,0,0,0,199,0.552777778,0.15625,0.5,26.95574802,23.24295,44.35526
6025,linker109_CH_linker46_N_dft_relaxed_interp_2.cif,23.98446,16.10359,0.185087,7434.93,4.89175,0.92053,1,0.540229885,0.367816092,0.091954023,0,0,0,0,0,465,0.618351064,0.091954023,0.27954023,27.63229492,21.244019,41.275665
6026,linker106_N_linker22_CH_umi_relaxed_interp_2.cif,31.45824,16.68628,0.188946,7290.64,4.80212,0.920527,1,0.487804878,0.341463415,0.12195122,0.048780488,2.5,0,0,0,1505,0.587890625,0.170731707,0.538536585,27.82996672,24.28551,39.15188
6027,linker105_C_linker28_C_dia_relaxed.cif,20.18428,17.15303,0.184093,6738.1,4.95216,0.920526,1,0.5625,0.3125,0.03125,0.09375,0.333333333,0,0,0,205,0.711805556,0.125,0.4175,28.10919024,20.233522,43.280262
6028,linker100_CH2_linker9_NH_und_relaxed.cif,21.76247,18.93001,0.160036,7810.53,5.72458,0.920525,1,0.444444444,0.472222222,0.055555556,0.027777778,2,0,0,0,449,0.438476563,0.083333333,0.264444444,30.28004776,20.379684,40.48536
6029,linker103_CH2_linker31_NH_und_relaxed_interp_2.cif,21.66518,18.66819,0.177739,7767.59,5.10255,0.920519,1,0.504761905,0.419047619,0.076190476,0,0,0,0,0,929,0.547759434,0.076190476,0.231619048,26.88738575,21.453869,41.082783
6030,linker103_CO_linker72_NH_crb_relaxed.cif,27.03311,18.105,0.189992,6731.86,4.82346,0.920516,1,0.50617284,0.24691358,0.098765432,0.148148148,0.666666667,0,0,0,233,0.710365854,0.24691358,0.809876543,30.43166275,21.996649,42.37497
6031,linker109_N_linker76_CH_crb_relaxed_interp_2.cif,21.19728,16.55501,0.189758,7070.37,4.77187,0.92051,1,0.536231884,0.347826087,0.115942029,0,0,0,0,0,369,0.623310811,0.115942029,0.352463768,28.64663489,21.169748,45.25323
6032,linker102_CH_linker74_N_sod_relaxed.cif,34.34907,15.82702,0.173287,6575.01,5.29285,0.920507,1,0.518072289,0.337349398,0.096385542,0.048192771,2,0,0,0,325,0.629844961,0.144578313,0.458795181,31.92587863,21.203695,36.87938
6033,linker91_C_linker81_C_hca_relaxed.cif,24.08391,22.43305,0.251089,6750.15,3.53651,0.920506,0,0.5,0.166666667,0.333333333,0,0,0,0,0,109,0.672839506,0.333333333,1.013333333,26.92092708,26.201653,42.59956
6034,linker105_N_linker66_CH_pcl_relaxed.cif,25.24888,21.48425,0.186141,7311.73,4.89533,0.920501,1,0.464285714,0.321428571,0.142857143,0.071428571,2,0,0,0,241,0.579326923,0.214285714,0.68,29.10624582,21.633974,53.07257
6035,linker98_CH_linker101_N_pts_relaxed.cif,18.61628,16.86038,0.197553,6662.81,4.56243,0.920501,1,0.555555556,0.351851852,0.092592593,0,0,0,0,0,309,0.64375,0.092592593,0.281481481,27.31780921,22.886845,45.15129
6036,linker103_CO_linker39_NH_qtz_relaxed_interp_2.cif,25.40793,22.88213,0.211553,6188.9,4.26693,0.9205,1,0.550561798,0.269662921,0.134831461,0.04494382,3,0,0,0,205,0.697278912,0.179775281,0.564494382,28.46531645,23.702076,45.5355
6037,linker100_CO_linker19_NH_und_relaxed_interp_2.cif,20.67449,17.19836,0.197594,7460.18,4.55813,0.9205,1,0.526315789,0.342105263,0.052631579,0.078947368,0.666666667,0,0,0,833,0.65078125,0.131578947,0.431578947,26.49701746,22.739311,44.505707
6038,linker104_N_linker47_CH_qtz_relaxed.cif,20.21595,19.14436,0.210271,6852.11,4.27923,0.920494,1,0.540540541,0.297297297,0.108108108,0.054054054,2,0,0,0,325,0.677083333,0.162162162,0.514594595,27.58024769,22.897356,47.647747
6039,linker97_N_linker1_CH_cds_relaxed_interp_4.cif,23.56567,19.36321,0.198469,7276.67,4.5342,0.92049,1,0.56,0.373333333,0.066666667,0,0,0,0,0,429,0.638392857,0.066666667,0.202666667,25.27658444,21.384407,45.806328
6040,linker103_N_linker87_CH_irl_relaxed_interp_2.cif,21.3797,16.27898,0.212248,7529.44,4.21139,0.920487,1,0.594202899,0.347826087,0.057971014,0,0,0,0,0,449,0.68445122,0.057971014,0.176231884,24.43847418,22.96304,46.51428
6041,linker105_N_linker12_CH_vba_relaxed.cif,21.31158,15.7369,0.191599,6751.13,4.7637,0.920484,1,0.466666667,0.3,0.066666667,0.166666667,0.4,0,0,0,577,0.643973214,0.233333333,0.776,27.09686287,21.482578,43.48148
6042,linker100_CH_linker31_N_gis_relaxed_interp_2.cif,27.65463,18.83787,0.17457,7718.07,5.23296,0.920482,1,0.5,0.375,0.1,0.025,4,0,0,0,737,0.57578125,0.125,0.39,29.8402061,22.125216,41.00888
6043,linker98_N_linker68_CH_dia_relaxed_interp_2.cif,22.64311,18.29245,0.193393,7010.46,4.69407,0.920481,1,0.528301887,0.301886792,0.132075472,0.037735849,3.5,0,0,0,585,0.652901786,0.169811321,0.531320755,27.50453136,21.764864,44.592865
6044,linker111_C_linker4_C_uni_relaxed.cif,21.87601,21.72807,0.202311,6526.68,4.44592,0.920474,1,0.553846154,0.338461538,0.030769231,0.061538462,0.5,0,0,0.015384615,295,0.68287037,0.092307692,0.305230769,31.15899195,20.625908,43.724457
6045,linker103_CH2_linker6_NH_crb_relaxed.cif,27.77957,17.57006,0.172289,6878.03,5.33129,0.920472,1,0.482352941,0.329411765,0.094117647,0.094117647,1,0,0,0,201,0.612804878,0.188235294,0.609882353,34.95383957,20.490396,34.547794
6046,linker110_C_linker19_C_uoy_relaxed.cif,17.79371,15.40711,0.204108,6726.77,4.36642,0.920472,1,0.548387097,0.451612903,0,0,0,0,0,0,1281,0.588694853,0,0,25.64279254,21.469524,43.516464
6047,linker103_NH_linker94_CH2_xux_relaxed_interp_2.cif,21.87611,15.23953,0.194985,7963.19,4.58446,0.920472,1,0.561181435,0.421940928,0.016877637,0,0,0,0,0,329,0.618421053,0.016877637,0.051308017,25.08035683,22.9094,43.799618
6048,linker96_C_linker68_C_hcb_relaxed.cif,23.35782,21.39734,0.217427,7482.17,4.12856,0.920469,0,0.529411765,0.264705882,0.147058824,0.058823529,2.5,0,0,0,111.25,0.686728395,0.205882353,0.649411765,29.07605355,23.5213,48.019993
6049,linker103_NH_linker70_CH2_dia_relaxed.cif,18.07607,15.96198,0.168546,7556.25,5.42996,0.920464,1,0.460674157,0.404494382,0.08988764,0.04494382,2,0,0,0,169,0.515243902,0.134831461,0.427865169,30.61455088,20.640545,33.453575
6050,linker105_CH_linker66_N_dia_relaxed.cif,17.81494,15.25264,0.187906,7576.14,4.84508,0.920464,1,0.464285714,0.321428571,0.142857143,0.071428571,2,0,0,0,121,0.581730769,0.214285714,0.68,28.45492167,21.568169,44.61657
6051,linker109_N_linker55_CH_dft_relaxed_interp_2.cif,23.38317,15.68557,0.213321,6790.13,4.2084,0.920459,1,0.542168675,0.289156627,0.144578313,0,0,0.024096386,0,0,481,0.668055556,0.144578313,0.439518072,25.68559487,23.117422,43.49584
6052,linker103_CH_linker81_N_npo_relaxed_interp_2.cif,24.81258,19.75792,0.203956,6345.52,4.42409,0.920447,1,0.569230769,0.307692308,0.123076923,0,0,0,0,0,301,0.677927928,0.123076923,0.374153846,28.80265189,22.363739,42.597637
6053,linker105_N_linker9_CH_mer_relaxed.cif,25.58471,18.27397,0.188631,7263.17,4.78161,0.920446,1,0.5,0.40625,0.0625,0.03125,2,0,0,0,577,0.563476563,0.09375,0.2975,27.0456477,21.800436,39.55407
6054,linker103_CH_linker65_N_gis_relaxed_interp_2.cif,30.17289,17.96902,0.195631,6964.86,4.62585,0.920444,1,0.594202899,0.231884058,0.173913043,0,0,0,0,0,961,0.732469512,0.173913043,0.528695652,29.19258148,24.039843,41.409885
6055,linker100_N_linker78_CH_uop_relaxed.cif,18.86641,16.68937,0.177883,7717.56,5.15833,0.920444,1,0.464285714,0.321428571,0.142857143,0.071428571,2,0,0,0,181,0.580128205,0.214285714,0.68,29.04785274,20.636189,40.992775
6056,linker108_CH_linker108_N_ssa_relaxed.cif,21.35977,20.80374,0.281858,5051.85,3.06857,0.920443,1,0.642857143,0.285714286,0.071428571,0,0,0,0,0,325,0.752314815,0.071428571,0.217142857,24.78138958,24.803722,36.548702
6057,linker111_C_linker65_C_sra_relaxed.cif,23.26457,21.3963,0.185835,6680.22,4.90112,0.920441,1,0.590163934,0.262295082,0.131147541,0,0,0,0,0.016393443,417,0.723958333,0.131147541,0.398688525,32.20886022,21.334488,43.64713
6058,linker98_N_linker57_CH_dia_relaxed_interp_2.cif,21.77077,18.83235,0.19966,6932.52,4.51687,0.920439,1,0.551724138,0.327586207,0.103448276,0.017241379,6,0,0,0,673,0.657226563,0.120689655,0.373793103,27.06236648,21.068214,46.075176
6059,linker109_CH_linker62_N_unj_relaxed_interp_2.cif,25.40841,24.44922,0.189673,6853.42,4.77137,0.920439,1,0.549295775,0.309859155,0.14084507,0,0,0,0,0,307,0.655982906,0.14084507,0.428169014,29.52751617,22.164879,49.936382
6060,linker106_C_linker94_C_tbo_relaxed.cif,29.44966,16.09053,0.205654,6462.04,4.34866,0.920431,1,0.564102564,0.384615385,0.051282051,0,0,0,0,0,673,0.637310606,0.051282051,0.155897436,25.94970527,21.60477,46.123356
6061,linker107_CH_linker80_N_gis_relaxed.cif,25.04432,17.00619,0.166087,7652.71,5.51807,0.920428,1,0.421052632,0.421052632,0.131578947,0.026315789,5,0,0,0,217,0.423828125,0.157894737,0.490526316,32.51154425,21.14764,39.762554
6062,linker111_C_linker81_C_acs-a_relaxed_interp_2.cif,27.22226,20.273,0.214305,6129.41,4.16742,0.920423,1,0.561403509,0.350877193,0.070175439,0,0,0,0,0.01754386,505,0.657552083,0.070175439,0.213333333,27.21405363,21.930565,41.907722
6063,linker103_N_linker65_CH_acs-a_relaxed_interp_2.cif,33.49567,16.94034,0.193721,7120.18,4.68436,0.920422,1,0.594202899,0.231884058,0.173913043,0,0,0,0,0,721,0.732723577,0.173913043,0.528695652,30.3581764,24.163141,41.11241
6064,linker111_C_linker68_C_uni_relaxed.cif,21.77125,21.61157,0.205718,6586.67,4.38163,0.920422,1,0.524590164,0.295081967,0.098360656,0.06557377,1.5,0,0,0.016393443,259,0.674479167,0.163934426,0.524590164,32.38197503,21.078897,48.15708
6065,linker108_NH_linker69_CH2_lvt_relaxed.cif,20.42318,16.8699,0.182801,7388.93,4.98136,0.92042,1,0.470588235,0.382352941,0.117647059,0.029411765,4,0,0,0,137,0.53515625,0.147058824,0.458823529,29.16967647,20.426113,43.627884
6066,linker107_CH_linker53_N_mer_relaxed.cif,26.50912,20.62259,0.174396,8006.27,5.20459,0.920418,1,0.465116279,0.418604651,0.11627907,0,0,0,0,0,625,0.48828125,0.11627907,0.353488372,28.45294868,21.901367,43.525085
6067,linker91_N_linker94_CH_etg_relaxed_interp_2.cif,20.04983,15.89179,0.215835,7471.74,4.13474,0.920413,1,0.555555556,0.333333333,0.111111111,0,0,0,0,0,313,0.652083333,0.111111111,0.337777778,24.41393443,24.734741,46.28604
6068,linker92_N_linker93_CH_etc_relaxed_interp_2.cif,21.28933,19.71823,0.193877,7396.35,4.64655,0.920412,1,0.56097561,0.390243902,0.048780488,0,0,0,0,0,349,0.632246377,0.048780488,0.148292683,25.29644007,21.73553,47.54973
6069,linker109_C_linker83_C_lon_relaxed.cif,19.0782,16.27588,0.203059,6781.88,4.41714,0.92041,1,0.594202899,0.347826087,0.057971014,0,0,0,0,0,449,0.68445122,0.057971014,0.176231884,24.65000562,20.852324,46.030907
6070,linker98_N_linker69_CH_mdf_relaxed.cif,21.05902,20.57087,0.19965,8021.01,4.52371,0.920407,1,0.535714286,0.339285714,0.107142857,0.017857143,6,0,0,0,609,0.634375,0.125,0.387142857,26.53772254,22.711828,51.315765
6071,linker100_CH_linker3_N_dei_relaxed_interp_2.cif,24.5305,21.89956,0.194551,6624.71,4.64834,0.920407,1,0.517241379,0.379310345,0.068965517,0.034482759,2,0,0,0,1153,0.600520833,0.103448276,0.328275862,28.80519318,22.737047,41.539646
6072,linker109_N_linker82_CH_umi_relaxed_interp_2.cif,29.96056,18.08121,0.178444,7128.63,5.08709,0.920405,1,0.52,0.373333333,0.106666667,0,0,0,0,0,1473,0.590144231,0.106666667,0.324266667,30.13654029,22.231813,37.370518
6073,linker102_N_linker34_CH_gis_relaxed_interp_2.cif,30.67011,23.5581,0.189219,6954.75,4.81411,0.920403,1,0.533980583,0.310679612,0.077669903,0.077669903,1,0,0,0,1185,0.673295455,0.155339806,0.503300971,29.88113985,23.33458,40.436543
6074,linker108_CH2_linker96_NH_jea_relaxed.cif,17.63936,15.54856,0.221463,6996.44,4.01014,0.920402,1,0.539473684,0.381578947,0.078947368,0,0,0,0,0,401,0.611280488,0.078947368,0.24,25.50225055,23.467989,46.65408
6075,linker102_N_linker10_CH_pcb_relaxed.cif,33.44294,20.45858,0.189495,6491.85,4.8112,0.920401,1,0.518072289,0.289156627,0.096385542,0.096385542,1,0,0,0,465,0.675872093,0.192771084,0.624578313,30.34002999,21.814203,39.292583
