COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_CO2(mol/kg),D_CO2(10^-8 m2/s),P_CO2(10^4 Barrer)
21450N2.cif,37.64006,37.49572,0.355495,2412.97,2.32538,0.796876,0,0.613138686,0.255474453,0.04379562,0.087591241,0,0,0,0,0.5,131,0.779761905,0.131386861,0.434452555,4.202788305,2.456998511,8.737379572
16011N2.cif,29.37192,29.15277,0.422249,2199.84,1.87449,0.764191,0,0.55,0.3,0,0.1,0,0,0.05,0,0,97,0.734848485,0.1,0.344,5.22986485,1.731563179,8.727983313
20040N2.cif,20.34648,19.25409,0.357519,4379.65,2.28256,0.799906,0,0.556818182,0.363636364,0.079545455,0,0,0,0,0,0,126,0.642857143,0.079545455,0.241818182,8.939980322,1.138524287,8.694237397
16141N2.cif,30.56193,30.37003,0.410772,2212.47,1.93246,0.751786,0,0.545454545,0.363636364,0.045454545,0.045454545,0,0,0,0,1,94,0.652777778,0.090909091,0.294545455,4.413067733,2.128893922,8.66571162
21314N2.cif,34.59008,34.52,0.321533,2671.15,2.55513,0.787601,0,0.597014925,0.343283582,0.059701493,0,0,0,0,0,0,111,0.69375,0.059701493,0.181492537,4.291975254,2.669110857,8.665032248
19110N2.cif,27.3279,27.10618,0.408741,2348.89,1.94705,0.750299,0,0.523809524,0.333333333,0.095238095,0.047619048,0,0,0,0,2,85,0.643939394,0.142857143,0.453333333,4.152905838,2.265096035,8.616597872
18022N3.cif,10.16733,9.67446,0.467019,3532.93,1.61428,0.698827,1,0.531914894,0.425531915,0.042553191,0,0,0,0,0,0,59,0.59,0.042553191,0.129361702,9.967839027,0.884974518,8.599051657
20380N2.cif,22.84761,22.59156,0.58779,1783.37,1.2696,0.707107,0,0.5,0.214285714,0.142857143,0.071428571,0.071428571,0,0,0,2,61,0.726190476,0.214285714,0.68,5.068576364,1.35913032,8.552025272
21331N2.cif,29.4063,29.20821,0.450021,2047.12,1.72832,0.72181,0,0.541666667,0.333333333,0.083333333,0.041666667,0,0,0,0,2,103,0.66025641,0.125,0.396666667,3.195941426,2.75067387,8.529196866
14031N2.cif,20.1365,19.92386,0.451,2859.02,1.72293,0.779198,0,0.564102564,0.307692308,0.051282051,0.051282051,0,0,0.025641026,0,1,187,0.708333333,0.102564103,0.332307692,9.717959146,0.834349881,8.510639579
15251N2.cif,22.78767,22.70874,0.535897,1989.64,1.39034,0.754041,0,0.553191489,0.361702128,0.085106383,0,0,0,0,0,0,67,0.644230769,0.085106383,0.258723404,6.379917132,1.101901202,8.484935234
20070N2.cif,20.02412,19.71982,0.604538,1937.32,1.20863,0.786066,0,0.555555556,0.388888889,0.055555556,0,0,0,0,0,0,38.5,0.641666667,0.054545455,0.165818182,8.528848846,0.700238255,8.476828917
