COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,N_CO2(mol/kg),D_CO2(10^-8 m2/s),P_CO2(10^4 Barrer),,
15201N3.cif,26.5708,22.37925,0.128813,6496.73,7.3044,0.958395,1,0.584415584,0.25974026,0.051948052,0.103896104,0.5,0,0,0,69,0.766666667,0.155844156,0.515324675,9.594327329,8.340900433,29.50844016,,
20112N3.cif,10.43778,9.58065,0.327035,8131.63,2.54535,0.87038,1,0.542857143,0.380952381,0.038095238,0.038095238,1,0,0,0,145,0.635964912,0.076190476,0.246857143,13.77327923,2.452599273,28.71981482,,
07012N3.cif,18.79873,16.12301,0.176283,6656.65,5.17815,0.946881,1,0.564705882,0.282352941,0,0.094117647,0,0,0,0.058823529,433,0.751736111,0.094117647,0.323764706,9.529237867,6.000733506,28.50905971,,
16250N3.cif,24.43912,21.57176,0.139903,7286.11,6.63046,0.951516,1,0.6,0.365217391,0.034782609,0,0,0,0,0,95,0.688405797,0.034782609,0.10573913,10.21876146,6.917746978,28.10739572,,
19401N3.cif,11.5101,7.64416,0.30788,7731.14,2.72262,0.866878,1,0.547169811,0.377358491,0.075471698,0,0,0,0,0,37,0.637931034,0.075471698,0.229433962,11.14620739,3.111626113,27.64830658,,
13101N2.cif,11.08993,9.40655,0.340148,6718.19,2.42142,0.873917,0,0.595744681,0.361702128,0.042553191,0,0,0,0,0,153,0.683035714,0.042553191,0.129361702,16.53912649,1.874794971,27.53081124,,
16131N3.cif,20.9626,17.59779,0.16945,6251.06,5.45258,0.95367,1,0.612903226,0.258064516,0,0.086021505,0,0,0,0.043010753,541,0.790935673,0.084805654,0.291731449,9.968080499,5.668619221,27.27363766,,
19003N3.cif,11.12571,8.93489,0.288804,6966.62,2.96852,0.893675,1,0.572815534,0.349514563,0.038834951,0,0,0.038834951,0,0,81,0.686440678,0.038834951,0.118058252,10.47234993,3.306902857,26.69702982,,
15202N3.cif,13.35449,10.5223,0.257625,6511.29,3.42188,0.915341,1,0.584415584,0.25974026,0.051948052,0.103896104,0.5,0,0,0,69,0.766666667,0.155844156,0.515324675,9.236531724,4.066180987,26.45337587,,
14051N3.cif,13.27592,7.58301,0.470513,4338.33,1.65883,0.836274,1,0.44,0.4,0.08,0.08,1,0,0,0,34,0.515151515,0.16,0.5184,16.29553023,1.339913586,25.66138305,,
16061N2.cif,23.03655,18.49772,0.116104,8558.49,8.08412,0.948196,0,0.534591195,0.41509434,0.025157233,0.025157233,1,0,0,0,205,0.602941176,0.050314465,0.163018868,8.51091619,9.143256104,25.58804173,,
20110N3.cif,29.01327,24.61711,0.0960765,8726.69,9.87317,0.955869,1,0.542857143,0.380952381,0.038095238,0.038095238,1,0,0,0,145,0.635964912,0.076190476,0.246857143,9.855536412,9.359861749,25.30345368,,
20116N3.cif,28.52567,23.74486,0.108902,8274.73,8.65674,0.957624,1,0.503875969,0.434108527,0.031007752,0.031007752,1,0,0,0,145,0.557692308,0.062015504,0.200930233,10.81028761,7.51325645,25.29943892,,
16110N3.cif,22.72268,16.03454,0.173311,7277.76,5.23902,0.931295,1,0.463414634,0.390243902,0.048780488,0.048780488,1,0,0,0.048780488,64,0.561403509,0.097560976,0.316097561,10.33136533,5.042875013,25.1167749,,
16111N3.cif,16.20544,14.26229,0.188331,7262.56,4.78635,0.925723,1,0.463414634,0.390243902,0.048780488,0.048780488,1,0,0,0.048780488,253,0.554824561,0.097560976,0.316097561,9.713418687,4.946749091,25.02127343,,
16113N3.cif,16.19063,14.24492,0.209078,6621.12,4.29353,0.922396,1,0.463414634,0.341463415,0.048780488,0.048780488,1,0,0.048780488,0.048780488,253,0.554824561,0.146341463,0.510243902,12.43108214,3.473230961,24.87040735,,
16332N3.cif,17.51716,13.42157,0.275377,5151,3.19242,0.904039,1,0.517241379,0.275862069,0.068965517,0.137931034,0.5,0,0,0,85,0.708333333,0.206896552,0.684137931,8.600141116,3.875446442,24.78316099,,
20114N3.cif,12.06451,10.07551,0.231848,8133.79,3.79041,0.905398,1,0.521367521,0.41025641,0.034188034,0.034188034,1,0,0,0,73,0.598360656,0.068376068,0.221538462,9.43276029,4.163951238,24.62645326,,
21572N3.cif,18.45979,14.75538,0.16127,8143.26,5.67867,0.937772,1,0.608695652,0.333333333,0.028985507,0,0,0.028985507,0,0,121,0.720238095,0.028985507,0.088115942,8.786170938,6.181242597,24.53244508,,
07013N3.cif,27.47264,19.05082,0.170478,6419.8,5.3681,0.95051,1,0.576470588,0.282352941,0,0.094117647,0,0,0,0.047058824,112,0.761904762,0.094117647,0.323764706,10.75808692,4.649518268,24.20931994,,
21520N3.cif,8.19994,7.0698,0.381732,7389.24,2.10677,0.831894,1,0.606557377,0.327868852,0,0.06557377,0,0,0,0,55,0.743243243,0.06557377,0.22557377,15.79267269,1.614894102,24.19027432,,
18142N3.cif,30.32292,27.77247,0.141689,7588.6,6.52769,0.941344,1,0.566433566,0.377622378,0.055944056,0,0,0,0,0,105,0.648148148,0.055944056,0.17006993,8.745848256,6.862471481,23.91010786,,
17162N3.cif,21.69652,18.64203,0.155274,7146.85,5.9285,0.93823,1,0.590551181,0.362204724,0.047244094,0,0,0,0,0,102,0.68,0.047244094,0.143622047,9.038090009,6.07425219,23.88867644,,
19421N3.cif,28.07964,26.28184,0.152124,6864.11,6.06215,0.941884,1,0.564356436,0.396039604,0.03960396,0,0,0,0,0,289,0.63377193,0.03960396,0.12039604,10.19421521,5.392479861,23.52621362,,
20117N3.cif,9.76361,8.66317,0.363708,7549.48,2.22294,0.837546,1,0.503875969,0.434108527,0.031007752,0.031007752,1,0,0,0,145,0.557692308,0.062015504,0.200930233,14.87103428,1.73107502,23.42249406,,
19020N3.cif,11.92097,8.93284,0.303867,6824.98,2.81202,0.868307,1,0.532467532,0.311688312,0.051948052,0.051948052,1,0,0.051948052,0,105,0.640243902,0.155844156,0.543376623,11.54907937,2.559895827,23.29920215,,
19002N3.cif,23.97998,20.28649,0.140829,7067.37,6.59524,0.942223,1,0.572815534,0.349514563,0.038834951,0,0,0.038834951,0,0,81,0.686440678,0.038834951,0.118058252,9.251064315,6.291741091,23.06868774,,
18021N3.cif,12.96805,9.80173,0.351674,7770.16,2.35258,0.874698,1,0.531914894,0.425531915,0.042553191,0,0,0,0,0,59,0.59,0.042553191,0.129361702,15.71933911,1.569949538,22.67424954,,
