COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_CH4(mol/kg),D_CH4(10^-8 m2/s),P_CH4(10^4 Barrer)
13060N2.cif,13.01888,12.50547,0.618866,2035.61,1.1058,0.588915,0,0.594594595,0.351351351,0.054054054,0,0,0,0,0,0,121,0.6875,0.054054054,0.164324324,0.627327582,4.391175619,2.998741153
15111N2.cif,32.25806,32.10371,0.588294,1318.44,1.2248,0.69918,0,0.633333333,0.266666667,0,0.066666667,0,0,0.033333333,0,0,181,0.793859649,0.066666667,0.229333333,0.734563385,8.743492294,7.890639006
12000N2.cif,16.14031,15.82205,0.705665,1611.76,0.9356,0.604037,0,0.5,0.333333333,0.083333333,0.083333333,0,0,0,0,1,46,0.638888889,0.166666667,0.54,0.580066238,8.801916398,6.500271522
15163N2.cif,19.28672,18.99947,0.538076,2012.46,1.3232,0.648048,0,0.586206897,0.379310345,0.034482759,0,0,0,0,0,0,68.5,0.671568627,0.034482759,0.104827586,0.709714208,4.281471723,3.164768347
16340N2.cif,14.05373,12.59264,0.497826,3104.13,1.53459,0.79469,0,0.536585366,0.317073171,0.097560976,0.048780488,0,0,0,0,2,117,0.664772727,0.146341463,0.464390244,1.518370153,2.608269022,4.679720496
18100N2.cif,33.17197,32.98954,0.352868,2550.42,2.3258,0.797919,0,0.578947368,0.315789474,0.052631579,0.052631579,0,0,0,0,1,94,0.712121212,0.105263158,0.341052632,1.217033864,8.987239619,9.198449254
19300N2.cif,15.47802,15.08861,0.62521,2141.31,1.1169,0.698049,0,0.545454545,0.363636364,0.090909091,0,0,0,0,0,0,46,0.638888889,0.090909091,0.276363636,0.883151324,3.81166019,4.388091515
15253N2.cif,22.44368,22.20325,0.515201,2078.33,1.45019,0.700795,0,0.533333333,0.333333333,0.133333333,0,0,0,0,0,0,61,0.635416667,0.133333333,0.405333333,0.80083284,12.20616229,10.54152047
19362N2.cif,36.72689,36.55998,0.373694,2171.05,2.19913,0.810908,0,0.583333333,0.333333333,0.041666667,0,0.041666667,0,0,0,0,118,0.702380952,0.041666667,0.126666667,1.157830626,18.03184748,18.89676746
20360N2.cif,32.23249,32.0573,0.420387,1987.51,1.84397,0.726934,0,0.608695652,0.347826087,0.043478261,0,0,0,0,0,0,118,0.702380952,0.043478261,0.132173913,0.8773698,13.74479612,11.00727442
19051N2.cif,34.45228,34.29511,0.383975,2229.58,2.12451,0.787892,0,0.6,0.25,0.1,0,0.05,0,0,0,0,109,0.756944444,0.1,0.304,1.077416289,25.1614472,24.49646088
20471N2.cif,27.69353,27.51608,0.429975,2242.37,1.82248,0.752859,0,0.571428571,0.333333333,0,0.095238095,0,0,0,0,0,103,0.715277778,0.095238095,0.327619048,0.991891675,4.55789368,4.371191546
20660N2.cif,23.86923,22.83776,0.289383,6047.61,2.97219,0.900433,0,0.542372881,0.305084746,0,0.101694915,0,0,0.050847458,0,0,93,0.7265625,0.101694915,0.349830508,1.986331186,10.56632173,16.33482401
16150N2.cif,22.84674,22.58169,0.522975,2009.77,1.42844,0.692268,0,0.555555556,0.333333333,0.055555556,0.055555556,0,0,0,0,1,82,0.683333333,0.111111111,0.36,0.784166101,7.487697455,6.349303517
15091N2.cif,17.5939,16.41473,0.375894,4174.83,2.14438,0.829161,0,0.516129032,0.387096774,0.064516129,0.032258065,0,0,0,0,2,153,0.59765625,0.096774194,0.307096774,1.578485773,6.48446781,9.528703677
19070N2.cif,28.83691,28.64974,0.511162,1921.94,1.49616,0.750704,0,0.523809524,0.285714286,0.142857143,0.047619048,0,0,0,0,3,88,0.666666667,0.19047619,0.598095238,0.884888542,14.3300383,14.53375264
16010N2.cif,14.33808,13.94958,0.750297,1703.6,0.867976,0.650165,0,0.5,0.2,0,0.2,0,0,0.1,0,0,49,0.816666667,0.2,0.688,0.701688883,2.639769351,2.69886975
20040N2.cif,20.34648,19.25409,0.357519,4379.65,2.28256,0.799906,0,0.556818182,0.363636364,0.079545455,0,0,0,0,0,0,126,0.642857143,0.079545455,0.241818182,1.445305861,10.55036565,13.02506524
21031N2.cif,8.92629,8.36525,0.773347,1721.98,0.805615,0.610632,0,0.592592593,0.37037037,0.037037037,0,0,0,0,0,0,87,0.6796875,0.037037037,0.112592593,0.810355809,2.313549022,2.644374564
20321N2.cif,35.86719,35.71819,0.338126,2374.49,2.38349,0.740891,0,0.523809524,0.333333333,0.095238095,0.047619048,0,0,0,0,2,85,0.643939394,0.142857143,0.453333333,1.018713672,9.819011325,7.484578234
19191N2.cif,6.09493,5.8438,0.829693,1059.54,0.676057,0.368769,0,0.473684211,0.473684211,0.01754386,0.01754386,0,0.01754386,0,0,1,230.5,0.474279835,0.052631579,0.169122807,0.400705766,0.514304679,0.188335613
21190N2.cif,41.18521,41.07749,0.353013,2225.88,2.34677,0.80828,0,0.517857143,0.339285714,0.089285714,0.053571429,0,0,0,0,1.666666667,110.5,0.635057471,0.142857143,0.455714286,1.180721898,11.78185628,11.85573329
16360N2.cif,21.85709,21.61542,0.53333,2112.97,1.38706,0.691643,0,0.517241379,0.310344828,0.103448276,0.068965517,0,0,0,0,1.5,59.5,0.661111111,0.172413793,0.551724138,0.754142801,6.656353385,5.530730669
18101N2.cif,28.47879,28.26931,0.41945,2321.44,1.87956,0.754746,0,0.555555556,0.333333333,0.055555556,0.055555556,0,0,0,0,1,82,0.683333333,0.111111111,0.36,0.985147103,8.613159481,8.023412901
20203N2.cif,33.14216,33.0583,0.500587,2036.35,1.49932,0.793859,0,0.607843137,0.352941176,0.039215686,0,0,0,0,0,0,259,0.696236559,0.039215686,0.119215686,1.165681349,10.08531242,13.95425626
20190N2.cif,25.64462,25.41555,0.42343,2276.38,1.85778,0.74013,0,0.564102564,0.358974359,0.051282051,0,0.025641026,0,0,0,0,88,0.666666667,0.051282051,0.155897436,0.944607057,17.73591217,15.68226899
19550N2.cif,19.29454,19.15539,0.59689,1748.79,1.16554,0.654863,0,0.561403509,0.368421053,0.070175439,0,0,0,0,0,0,83,0.6484375,0.070175439,0.213333333,0.702801005,20.311735,16.6662811
13050N2.cif,22.25156,21.99941,0.614558,1732.89,1.18567,0.69127,0,0.555555556,0.277777778,0.055555556,0.111111111,0,0,0,0,0.5,88,0.733333333,0.166666667,0.551111111,0.754090803,8.17935626,7.826505696
19182N2.cif,38.83476,38.66104,0.329164,2602.69,2.56255,0.805958,0,0.48,0.32,0.12,0.08,0,0,0,0,1.5,88,0.611111111,0.2,0.64,1.243094898,7.680827706,7.565743258
21511N3.cif,9.00228,8.06856,0.611472,2997.5,1.0985,0.603312,1,0.479591837,0.459183673,0.040816327,0.020408163,0,0,0,0,2,95,0.505319149,0.06122449,0.194285714,0.78812841,3.923692468,3.407415015
21570N3.cif,14.64157,14.50795,0.693562,1773.75,0.942237,0.584027,1,0.555555556,0.37037037,0.037037037,0,0.037037037,0,0,0,0,313,0.652083333,0.037037037,0.112592593,0.55882364,6.022163532,4.071552889
21426N3.cif,13.74326,11.77675,0.200665,10350.6,4.41083,0.886417,1,0.569892473,0.365591398,0.064516129,0,0,0,0,0,0,35.5,0.669811321,0.064516129,0.196129032,2.322838519,17.30047737,21.35017123
21550N3.cif,8.47286,7.41575,0.811375,1742.67,0.722477,0.569191,1,0.954545455,0,0.045454545,0,0,0,0,0,0,84,1,0.045454545,0.138181818,0.738353472,2.393383342,2.437646819
21551N3.cif,11.02298,10.72201,0.819494,1489.31,0.709755,0.506331,1,0.606557377,0.360655738,0.032786885,0,0,0,0,0,0,52,0.702702703,0.032786885,0.099672131,0.555313679,4.309601385,2.965994358
21520N3.cif,8.19994,7.0698,0.381732,7389.24,2.10677,0.831894,1,0.606557377,0.327868852,0,0.06557377,0,0,0,0,0,55,0.743243243,0.06557377,0.22557377,1.520422724,6.653537801,9.595289686
21730N3.cif,14.68867,14.55907,0.725204,1733.47,0.905318,0.660764,1,0.586206897,0.310344828,0.034482759,0.068965517,0,0,0,0,0.5,442,0.722222222,0.103448276,0.342068966,0.753068972,1.969800589,2.123137555
21640N3.cif,21.41247,21.08933,0.546112,2723.26,1.29153,0.57621,1,0.383333333,0.483333333,0.033333333,0.1,0,0,0,0,0.333333333,49,0.355072464,0.133333333,0.445333333,0.614421588,6.150810597,3.552023918
21560N3.cif,8.5385,8.39348,0.804278,1542.89,0.770604,0.514376,1,0.6,0.28,0.04,0,0.08,0,0,0,0,181,0.754166667,0.04,0.1216,0.742753012,0.895647612,0.822021224
21572N3.cif,18.45979,14.75538,0.16127,8143.26,5.67867,0.937772,1,0.608695652,0.333333333,0.028985507,0,0.028985507,0,0,0,0,121,0.720238095,0.028985507,0.088115942,2.805416432,27.4415903,34.77539011
21571N3.cif,19.92583,19.64275,0.600738,1816.6,1.16021,0.635445,1,0.5625,0.375,0.03125,0,0.03125,0,0,0,0,377,0.654513889,0.03125,0.095,0.616511031,7.518432416,5.285009512
21540N3.cif,41.14343,34.79952,0.0516319,8523.58,18.8391,0.980095,1,0.543859649,0.421052632,0.035087719,0,0,0,0,0,0,149,0.600806452,0.035087719,0.106666667,7.742232289,87.13142442,101.962821
20441N3.cif,10.24517,9.62021,0.736551,1666.86,0.879179,0.577428,1,0.368421053,0.456140351,0.087719298,0.070175439,0,0.01754386,0,0,1.25,38.5,0.305555556,0.175438596,0.563508772,0.594810122,6.607477056,4.992628229
21280N3.cif,38.09649,38.02998,0.290217,2793.52,2.95475,0.831827,1,0.5,0.358974359,0.083333333,0.057692308,0,0,0,0,1.444444444,47.75,0.612179487,0.141025641,0.451794872,1.449096614,16.5780239,17.32209895
18011N3.cif,5.65179,5.05599,0.889865,610.807,0.622094,0.471896,1,0.508474576,0.389830508,0.033898305,0.06779661,0,0,0,0,0.5,73,0.608333333,0.101694915,0.336271186,0.638707827,0.530005347,0.424587751
20570N3.cif,7.49061,6.9364,0.513335,2994.88,1.38888,0.633934,1,0.561643836,0.383561644,0.054794521,0,0,0,0,0,0,105,0.640243902,0.054794521,0.166575342,0.91714785,2.624154182,2.339312128
18040N3.cif,7.06143,6.35265,0.766111,1948.31,0.787719,0.495859,1,0.546391753,0.371134021,0.041237113,0.041237113,0,0,0,0,1,137,0.646226415,0.082474227,0.267216495,0.598538452,2.132740336,1.448419915
13181N3.cif,5.27018,4.18956,0.978324,1070.94,0.555256,0.501158,1,0.489795918,0.326530612,0.081632653,0.081632653,0,0,0.020408163,0,1,31,0.645833333,0.163265306,0.528979592,0.944410348,1.760717437,2.435130992
20562N3.cif,6.56017,3.91589,1.09046,374.485,0.487354,0.495285,1,0.411764706,0.352941176,0,0.176470588,0,0,0.058823529,0,0,33,0.589285714,0.166666667,0.573333333,0.727884783,0.519046345,0.60946426
17163N3.cif,16.30857,13.66038,0.310547,6138.54,2.70071,0.874094,1,0.590551181,0.362204724,0.047244094,0,0,0,0,0,0,203,0.676666667,0.047244094,0.143622047,1.693573654,8.550333229,11.74051527
18131N3.cif,4.35137,4.09217,1.1151,260.556,0.390549,0.253842,1,0.561643836,0.383561644,0.054794521,0,0,0,0,0,0,105,0.640243902,0.054794521,0.166575342,0.359534283,2.399973818,0.729522448
20500N3.cif,12.1317,9.18261,0.443234,4573.72,1.76579,0.783959,1,0.529411765,0.294117647,0.058823529,0.117647059,0,0,0,0,0.5,151,0.699074074,0.176470588,0.583529412,1.201807222,8.629254649,10.76338966
18133N3.cif,8.65257,7.14934,0.619925,2876.21,1.11407,0.71233,1,0.563829787,0.382978723,0.042553191,0,0,0,0.010638298,0,0,205,0.644654088,0.042553191,0.129361702,1.0605975,3.773585455,5.278854902
16250N3.cif,24.43912,21.57176,0.139903,7286.11,6.63046,0.951516,1,0.6,0.365217391,0.034782609,0,0,0,0,0,0,95,0.688405797,0.034782609,0.10573913,3.361553552,35.51003429,47.4623021
20670N3.cif,15.06435,14.69961,0.746918,1578.51,0.823812,0.557202,1,0.61589404,0.357615894,0.026490066,0,0,0,0,0,0,66,0.709677419,0.026490066,0.080529801,0.54689929,3.553746563,2.415983453
20580N3.cif,16.24084,15.94544,0.591588,2024.96,1.17906,0.654035,1,0.505050505,0.414141414,0.060606061,0.02020202,0,0,0,0,3,225,0.5625,0.080808081,0.253737374,0.700148797,6.22964987,5.040677146
19420N3.cif,20.52716,19.1946,0.231505,6100.21,3.80078,0.903466,1,0.555555556,0.395061728,0.049382716,0,0,0,0,0,0,225,0.625,0.049382716,0.150123457,2.120926821,18.59969316,24.64439739
07010N3.cif,9.04156,7.98975,0.420553,5082.56,1.85732,0.860815,1,0.510204082,0.326530612,0,0.081632653,0,0,0.081632653,0,0,205,0.683333333,0.081632653,0.280816327,1.522076818,10.60193648,17.44885291
20113N3.cif,28.27167,24.10888,0.102519,8807.1,9.2067,0.952334,1,0.521367521,0.41025641,0.034188034,0.034188034,0,0,0,0,1,145,0.594262295,0.068376068,0.221538462,4.259564249,41.20561593,51.18347701
17162N3.cif,21.69652,18.64203,0.155274,7146.85,5.9285,0.93823,1,0.590551181,0.362204724,0.047244094,0,0,0,0,0,0,102,0.68,0.047244094,0.143622047,2.879358253,33.49095896,41.9610062
20370N3.cif,12.17549,10.2871,0.325537,5830.76,2.5492,0.846398,1,0.526315789,0.421052632,0.052631579,0,0,0,0,0,0,93,0.58125,0.052631579,0.16,1.538931454,7.565651394,9.581977316
20117N3.cif,9.76361,8.66317,0.363708,7549.48,2.22294,0.837546,1,0.503875969,0.434108527,0.031007752,0.031007752,0,0,0,0,1,145,0.557692308,0.062015504,0.200930233,1.553307919,6.315931844,8.926291484
18122N3.cif,8.03432,7.82122,0.829418,1279.12,0.653808,0.422997,1,0.575221239,0.389380531,0.03539823,0,0,0,0,0,0,169,0.65,0.03539823,0.107610619,0.483472422,2.828859013,1.433204965
21300C3.cif,13.53182,9.23584,0.492082,2754.01,1.5493,0.784495,1,0.595744681,0.319148936,0.042553191,0.042553191,0,0,0,0,1,481,0.71577381,0.084507042,0.273802817,1.235715006,4.955546043,7.060769694
20430N3.cif,47.73625,46.90899,0.108766,7421.74,8.68798,0.958478,1,0.613065327,0.35678392,0.030150754,0,0,0,0,0,0,171,0.700819672,0.030150754,0.091658291,3.945043241,44.46207446,54.61744074
19001N3.cif,8.81151,6.25088,0.422471,6291.78,1.87923,0.840086,1,0.523809524,0.380952381,0.047619048,0,0.047619048,0,0,0,0,55,0.625,0.047619048,0.144761905,1.507567098,10.06376132,16.0831895
18130N3.cif,9.07194,8.9372,0.733931,1885.01,0.861089,0.629637,1,0.561643836,0.383561644,0.054794521,0,0,0,0,0,0,105,0.640243902,0.054794521,0.166575342,0.939793275,5.108536242,6.626570692
20521N3.cif,14.50976,13.59843,0.629826,2034.83,1.01368,0.544016,1,0.6,0.366666667,0.033333333,0,0,0,0,0,0,148,0.685185185,0.033333333,0.101333333,0.577587733,5.41426632,3.200400901
19242N3.cif,5.49367,5.17279,0.949397,477.893,0.545125,0.346662,1,0.584158416,0.356435644,0.03960396,0,0,0.01980198,0,0,0,157,0.665254237,0.059405941,0.199207921,0.509424566,8.067593281,4.040103805
09000N3.cif,9.35856,9.26179,0.545319,3250,1.33456,0.709376,1,0.561643836,0.383561644,0.054794521,0,0,0,0,0,0,105,0.640243902,0.054794521,0.166575342,0.994151688,2.725281385,3.1304421
20121N3.cif,9.97566,9.7687,0.833473,1373.01,0.65953,0.50541,1,0.558823529,0.411764706,0.029411765,0,0,0,0,0,0,189,0.621710526,0.029411765,0.089411765,0.602477399,5.853627013,4.437268643
21271N3.cif,8.15208,5.77182,0.720061,2337.17,0.854539,0.537878,1,0.58677686,0.380165289,0.033057851,0,0,0,0,0,0,377,0.663732394,0.033057851,0.100495868,0.663335208,2.546529662,1.95411181
18142N3.cif,30.32292,27.77247,0.141689,7588.6,6.52769,0.941344,1,0.566433566,0.377622378,0.055944056,0,0,0,0,0,0,105,0.648148148,0.055944056,0.17006993,3.150123836,25.34117264,31.80192281
18143N3.cif,35.0199,30.43642,0.109984,8323.02,8.55381,0.948647,1,0.58490566,0.377358491,0.037735849,0,0,0,0,0,0,124,0.666666667,0.037735849,0.114716981,3.793989457,29.85612052,35.30028353
16111N3.cif,16.20544,14.26229,0.188331,7262.56,4.78635,0.925723,1,0.463414634,0.390243902,0.048780488,0.048780488,0,0,0.048780488,0,1,253,0.554824561,0.097560976,0.316097561,2.49006561,24.61008803,31.9110706
16131N3.cif,20.9626,17.59779,0.16945,6251.06,5.45258,0.95367,1,0.612903226,0.258064516,0,0.086021505,0,0,0.043010753,0,0,541,0.790935673,0.084805654,0.291731449,2.741165831,36.03481212,47.67731796
18023N3.cif,11.09613,9.65747,0.621838,2278.2,1.07819,0.538911,1,0.531914894,0.425531915,0.042553191,0,0,0,0,0,0,59,0.59,0.042553191,0.129361702,0.569680999,3.723396848,2.123146286
