COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_H2S(mol/kg),D_H2S(10^-8 m2/s),P_H2S(10^4 Barrer)
07000N2.cif,31.52022,31.34049,0.44676,1936.58,1.74317,0.763616,0,0.571428571,0.285714286,0,0.095238095,0,0,0.047619048,0,0,109,0.756944444,0.095238095,0.327619048,17.83873267,0.698521101,12.69718302
21082N2.cif,28.96942,28.84962,0.50194,1796.99,1.5111,0.734773,0,0.6,0.28,0.04,0.08,0,0,0,0,0.5,136,0.755555556,0.12,0.3968,18.80436313,0.611958996,12.67653322
16361N2.cif,33.91137,33.75087,0.37311,2426.64,2.17995,0.776256,0,0.523809524,0.333333333,0.095238095,0.047619048,0,0,0,0,2,85,0.643939394,0.142857143,0.453333333,14.91550347,0.980760866,12.65486323
13100N2.cif,21.19983,20.79435,0.324166,3850.95,2.5693,0.85753,0,0.595744681,0.361702128,0.042553191,0,0,0,0,0,0,153,0.683035714,0.042553191,0.129361702,50.00724155,0.304051865,12.6244337
19500N2.cif,33.50006,33.29033,0.400438,2216.88,2.03692,0.759445,0,0.535714286,0.321428571,0.071428571,0.071428571,0,0,0,0,1,121,0.672222222,0.142857143,0.462857143,19.41696921,0.71495396,12.60972686
19041N2.cif,25.07646,24.87317,0.501009,2004.89,1.54795,0.713791,0,0.523809524,0.285714286,0.095238095,0.071428571,0,0,0,0.023809524,1.333333333,91,0.689393939,0.166666667,0.535238095,18.83829083,0.626462933,12.60573064
14080N2.cif,34.47645,34.30932,0.400887,2099.23,2.01314,0.791784,0,0.545454545,0.272727273,0.045454545,0.090909091,0,0,0.045454545,0,0.5,106,0.736111111,0.136363636,0.450909091,17.31940476,0.764745295,12.55720606
21310N2.cif,23.04945,22.86662,0.41957,2535.41,1.85275,0.739168,0,0.62295082,0.344262295,0.032786885,0,0,0,0,0,0,217,0.713815789,0.032786885,0.099672131,17.89021692,0.757146694,12.54751642
21315N3.cif,31.18528,31.09708,0.389144,2339.93,2.04649,0.772689,1,0.597014925,0.343283582,0.059701493,0,0,0,0,0,0,111,0.69375,0.059701493,0.181492537,15.40505666,0.904898119,12.51966202
15110N2.cif,29.29451,29.11054,0.480027,1904.35,1.58595,0.745289,0,0.611111111,0.222222222,0,0.111111111,0,0,0.055555556,0,0,109,0.825757576,0.111111111,0.382222222,20.46326679,0.572324336,12.51474795
20531N2.cif,23.52769,23.24997,0.489795,2346.39,1.57576,0.775596,0,0.590909091,0.272727273,0.045454545,0.090909091,0,0,0,0,0.5,235,0.753205128,0.136363636,0.450909091,30.83123873,0.357575758,12.50902614
19366N2.cif,35.1986,35.03437,0.385817,2143.43,2.08415,0.786444,0,0.607142857,0.357142857,0.035714286,0,0,0,0,0,0,142,0.696078431,0.035714286,0.108571429,15.42378734,0.893838074,12.49434785
15100N2.cif,36.31333,36.15712,0.392046,2096.62,2.07603,0.768104,0,0.56,0.28,0.08,0.08,0,0,0,0,1,121,0.720238095,0.16,0.5184,15.35875082,0.904286241,12.4920416
18091N2.cif,11.35726,10.72445,0.480086,3917.03,1.57918,0.834523,0,0.606060606,0.303030303,0,0.060606061,0,0,0.03030303,0,0,361,0.752083333,0.060606061,0.208484848,33.41849641,0.311326199,12.45014697
21001N2.cif,28.12187,27.90898,0.535607,1807.04,1.45614,0.739096,0,0.571428571,0.333333333,0.047619048,0,0,0.047619048,0,0,0,94,0.652777778,0.095238095,0.285714286,16.66548364,0.631370029,12.44123607
