COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,N_H2S(mol/kg),D_CH4(10^-8m2/s),P_H2S(10^4Barrer)
linker109_CH_linker92_N_pts-f_relaxed.cif,19.02479,16.98576,0.185411,6806.25,4.89281,0.933295,1,0.546391753,0.329896907,0.12371134,0,0,0,0,0,273,0.643867925,0.12371134,0.376082474,96.72031558,0.885419138,47.96912305
linker109_CH_linker95_N_xux_relaxed_interp_5.cif,21.61551,15.89571,0.256686,7720.89,3.37432,0.894615,1,0.618257261,0.331950207,0.049792531,0,0,0,0,0,1061,0.712080537,0.049792531,0.151369295,65.35640335,0.76466258,37.14814005
linker109_CH2_linker94_NH_jph_relaxed_interp_2.cif,29.6568,24.22001,0.175008,6839.82,5.18457,0.919633,1,0.536480687,0.412017167,0.051502146,0,0,0,0,0,593,0.593,0.051502146,0.156566524,37.29215641,1.847433337,35.8921485
linker109_CO_linker51_NH_qtz_relaxed.cif,18.24317,16.5129,0.176619,7061.56,5.16468,0.925176,1,0.504761905,0.380952381,0.076190476,0.038095238,2,0,0,0,373,0.586477987,0.114285714,0.362666667,29.30127423,2.837588225,43.97829559
linker109_CO_linker96_NH_jph_relaxed_interp_2.cif,28.0704,21.46672,0.1941,6458.36,4.64296,0.916826,1,0.520737327,0.350230415,0.110599078,0.01843318,6,0,0,0,553,0.611725664,0.129032258,0.399631336,37.05455059,1.759936014,37.56571151
linker109_N_linker1_CH_unc_relaxed_interp_2.cif,21.90305,19.25111,0.209575,7432.71,4.25472,0.911697,1,0.532467532,0.38961039,0.077922078,0,0,0,0,0,197,0.600609756,0.077922078,0.236883117,81.81391486,0.724225344,36.64642615
linker109_N_linker10_CH_dia_relaxed_interp_2.cif,21.65787,16.54863,0.246258,5894.83,3.58737,0.886772,1,0.50617284,0.296296296,0.098765432,0.098765432,1,0,0,0,433,0.660060976,0.197530864,0.64,69.20366158,0.981722971,48.02430412
linker109_N_linker10_CH_pcl_relaxed_interp_2.cif,25.07746,17.69314,0.213811,6354.75,4.19809,0.903713,1,0.50617284,0.296296296,0.098765432,0.098765432,1,0,0,0,865,0.65929878,0.197530864,0.64,39.70561322,1.786461049,44.36564173
linker109_N_linker19_CH_unc_relaxed_interp_3.cif,23.81294,18.93451,0.210898,7183.33,4.22271,0.91139,1,0.569892473,0.387096774,0.043010753,0,0,0,0,0,409,0.643081761,0.043010753,0.130752688,57.52764956,1.287192713,46.07206275
linker109_N_linker46_CH_dft_relaxed_interp_2.cif,24.43754,16.46096,0.190213,7202.02,4.73932,0.919029,1,0.540229885,0.367816092,0.091954023,0,0,0,0,0,465,0.618351064,0.091954023,0.27954023,48.64473525,1.593749084,43.86982856
